0,máy dùng hay bị đơ máy
0,chỉ có dây cáp nguồn không có adapter sao sử dụng chỉ có dây cáp nguồn không có adapter sao sử dụng hàng tiki training gì kì cục vậy 
0,Chất lượng quá kém Mới dùng được 2 ngày loa bass có âm thanh rè rè dù không mở gì Không tin tưởng được chất lượng
0,Usb tôi vừa mới nhận usb này Rất bực bội vì cái nắp usb này rất cứng không thể mở ra được Và cái hộp đựng usb này dường như bị ai đó cắt ra trước đó
2,Tuyệt vời. Hàng FPT cửa hàng
1,Chưa đo đúng bước chân rõ Nhiều khi gián đoạn chưa hài lòng Hàng không có tiếng việt nên rất khó để tìm hiểu về các hoạt động của máy
0,phủ sóng thấp quá đi khoảng 3 4m là mất sóng
1,Kết nối tốt Mối nối không khít gây đau tai 1 Kết nối: nhiều bạn cũng nói vấn đề này rồi kết nối tốt tiện dụng 2 Mối nối:   Có 1 bạn cũng gặp trường hợp giống mình mối nối không khớp với nhau ở một số điểm Đeo vào là thấy hơi hơi khó chịu đeo lâu gây đau tai cực   Ban đầu mình không nghĩ đây là vấn đề lớn nên không liên hệ đổi trả Bây giờ có cơ hội so với tai của bạn mình thì mới vỡ ra nó khác nhau một trời một vực Của bạn mình mối nối rất liền lạc đeo rất thoải mái Mình vừa gửi hình nhờ Tiki support Mình đã mua được 2 tuần Không biết tiki sẽ support đổi trả hay như thế nào không
0,2 Loa nhỏ nghe bị rè Âm thanh chưa tốt hơi thất vọng với sản phẩm dây cắm 2 loa thì dùng 1 tuần đã chập chờn
0,Đặt i12 shop giao i11 thất vọng
2,"đúng hàng đúng quà, tôi rất hài lòng"
0,hứa cho cáp sạc đã giao không có
1,click êm click đúng là êm thiệt xài không biết thơi gian thế nào nhưng khá ổn
2,Hình rất nét
2,"sản phẩm cực tốt nha các bạn, chất lượng và tốt hơn giá tiền nhiều, đóng gói kỹ, giao nhanh, nên ủng hộ cửa hàng này ạ! Sản phẩm tuyệt vời. Cho cửa hàng 5 sao nha"
0,giao hàng cực kì chậm Từ khi đặt mua sản phẩm cho đến khi mình viết cái này là 8 ngày rồi vẫn chưa thấy giao Mình thất vọng với tiki
0,mua về không mở lên được là sao ạ ??????
2,"chất lượng chấp nhận,ai có nhu cầu học hành,lướt web tốt, ngon bổ rẻ.cảm ơn cửa hàng "
1,Tôi thắc mắc Tại sao tem trên máy và pin khác nhau trong khi đó tôi mua tháng 6 2018 Trên máy thì tick tháng 4 2020 và pin là tháng 10 2018 Trên hóa đơn tôi được thêm 1 củ sạc và khi tôi nhận không có Tôi xem review mọi người có tem niêm phong tiki ở hộp tại sao tôi nhận thì hộp không có tem đã bị mở và lòi cả túi bóng đựng máy ra ngoài Vui lòng giải đáp thắc mắc của tôi Mới nhận máy nên chưa review được sản phẩm thế nào
1,Bình thường tại sao cài đặt driver thì nó hiện lên No devices detected trong khi đã kết nối chuột ạ
2,"bộ máy chẳng có gì phàn nàn. đẹp tốt tỳ vết. cửa hàng phục vụ chu đáo, tận tình.. còn tặng kèm cái tai nghe sang chảnh.."
2,"Tốt hơn mong đợi, gặp chút khó khăn nhưng vậy là tốt rồi"
0,Kết nối không ổn định rất không hai lòng Thật sự thất vọng set up xong dùng được 1 ngày thì lỗi tùm lum Liên tục mất sóng mặc dù vị trí mình set up rất gần router chính mua về mà không muốn dùng luôn Phí tiền
1,Bình thường Tạm được   EX200   Bộ Mở Rộng Sóng Wifi Chuẩn N Tốc Độ 300Mbps   Hàng Chính Hãng
2,"Đóng gói cẩn thận, sản phẩm đẹp. Nhân viên cửa hàng quá nhiệt tình."
0,Hình như sự nhầm lẫn không hề nhỏ
1,Bình thường vỏ hộp bị cắt mở ra rồi với giá như vậy thì mình thấy khá hợp lý rồi chất lượng thì chưa biết thế nào
1,"Loại bàn phím này dùng ổn. Bàn nhận được phím hỏng nút số 3, nắp lại nút còn ngược. Người mua phải tìm cách khắc phục."
1,"dùng ok ,sao không có day AV"
0,không hài lòng
1,xài nóng máy máy mang về con nguyên nhưng xài cảm nhận bị nóng máy
2,Cực kì hài lòng Hàng đúng chất lượng Hàng đúng chất lượng Hàng đúng chất lượng
2,rất hài lòng về dịch vụ cũng như hàng hóa
