text,label,label_id
"Tại thị trường trong nước, khảo sát lúc 9 giờ sáng nay, giá vàng trong nước cũng được các doanh nghiệp điều chỉnh tăng nhẹ lên 50.000 đồng/lượng",positive,0
tăng 50.000 đồng/lượng ở cả hai chiều mua và bán so với thời điểm chốt phiên giao dịch ngày hôm qua,positive,0
"Tại 2 thị trường lớn khác là Hà Nội và Đà Nẵng, Công ty SJC cũng áp dụng giá mua vào là 66.450.000 đồng/lượng, nhưng giá bán ra ở hai thị trường này cao hơn tại",positive,0
Vàng lại bật tăng vượt ngưỡng 2.000 USD/ounce,positive,0
tăng 24 USD/ounce so với cùng giờ sáng qua,positive,0
"Giá vàng thế giới sáng nay vọt tăng mạnh, vượt ngưỡng 2.000 USD/ounce",positive,0
"Lập tức, giới đầu cơ giá lên mạnh tay đưa vốn vào kim loại quý đẩy giá vàng tăng vọt",positive,0
để hỗ trợ nền kinh tế phục hồi và giữ ổn định việc làm cho người lao động,positive,0
"Ông cho rằng, vàng dường như được hỗ trợ tốt ở mức khoảng 1.900 USD/ounce",positive,0
môi trường này sẽ tiếp tục hỗ trợ lâu dài cho vàng,positive,0
Cổ phiếu MSR tiếp năng lượng với tin làm pin cho xe Vinfast,positive,0
Cổ phiếu NT2 có còn sức phòng thủ?,positive,0
"Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 (PVPower NT2, mã chứng khoán NT2)  vừa công bố báo cáo tài chính năm 2022 với khoản lợi nhuận lên tới hơn 883 tỷ đồng, vượt 88,7% kế hoạch đề ra",positive,0
ngành điện có những giải pháp ưu tiên cho năng lượng tái tạo hơn,positive,0
"Do vậy, sản lượng điện hợp đồng của nhà máy sẽ rơi vào khoảng 3,5 tỷ đồng, tăng nhẹ hơn năm ngoái",positive,0
"Giá khí có xu hướng tăng, nhưng NT2 có lợi thế hơn khi có hợp đồng bao tiêu khí với PV GAS (mã chứng khoán GAS)",positive,0
"Như vậy, khối lượng khí đầu vào của NT2 đã được đảm bảo và PV GAS là đơn vị có trách nhiệm tìm kiếm, bổ sung khí mới nếu mỏ khí đang khai thác suy giảm",positive,0
"NT2 có chiến lược chào giá hợp lý để tăng sản lượng, tối đa hóa lợi nhuận, qua đó kiểm soát được yếu tố rủi ro nhiên liệu khí đầu vào một cách hợp lý",positive,0
Do công ty mẹ NT2 đang cần lượng tiền mặt lớn và NT2 có dòng tiền mạnh nên BSC dự báo NT2 sẽ duy trì tỷ suất cổ tức hấp dẫn từ 10% trong năm 2023 – 2024,positive,0
"Là cao, tăng trưởng lợi nhuận ổn định và NT2 đã tất toán các khoản vay dài hạn giúp Công ty tránh được tác động của rủi ro lãi suất và rủi ro tỷ giá",positive,0
"Cổ phiếu MSR nạp năng lượng cho nhà đầu tư trên \""đường chạy\"" thị giá",positive,0
"Gần nhất, thương vụ đình đám chuyển nhượng VinCommerce từ tay VinGroup về Masan Group, đã tạo nền tảng cho Masan hoàn thiện hệ sinh thái bán lẻ tiêu dùng tích hợp với nhiều công ty tỷ đô",positive,0
"thông tin mới được CTCP Masan High-Tech Materials (MHT, mã cổ phiếu MSR - UpCOM) công bố tại kỳ Đại hội đồng cổ đông (ĐHĐCĐ) 2023 hôm 18/4, hé lộ về tiềm năng hợp tác sản xuất pin cho Vinfast và mục tiêu đạt doanh thu 18.200 tỷ đồng năm 2023, đã tạo năng lượng tích cực khiến ngay lập tức từ 19/4 cổ phiếu MSR khởi động “đường chạy” mới.",positive,0
"Dữ liệu giao dịch chứng khoán ghi nhận đầu phiên giao dịch ngày 20/4, cổ phiếu MSR đã tăng hết biên độ lên 13.300 đồng/cp, tăng 14,7% so với giá tham chiếu",positive,0
Như vậy đây đã là phiên tăng trần thứ 2 liên tiếp của MSR sau phiên giao dịch ngày 19/4,positive,0
"Và tính từ giá tham chiếu phiên 19/4 của MSR là 10.500 đồng/cp, giá cổ phiếu hiện nay đã tăng lên 13.300 đồng/cp, tương ứng với mức tăng gần 27% chỉ sau 2 ngày",positive,0
"Năm 2022, nhờ nhu cầu và giá các sản phẩm Vonfram tiếp tục tăng mạnh nên Masan High-Tech Materials đã đạt doanh thu kỷ lục là 15.550 tỷ đồng, tăng 1.985 tỷ đồng (tăng 15%) so với năm tài chính 2021",positive,0
"Trên cơ sở thành công của dự án tinh luyện Vonfram và sản xuất các dòng sản phẩm Vonfram công nghệ cao, Masan High-Tech Materials dự kiến triển khai Dự án xây dựng nhà máy tái chế Vonfram đầu tiên và lớn nhất Châu Á tại Thái Nguyên",positive,0
đặt mục tiêu đưa Việt Nam trở thành trung tâm phát triển công nghệ tái chế Vonfram và các kim loại quý hàng đầu khu vực,positive,0
"Tại ĐHĐCĐ 2023, ngoài hợp tác với Vinfast, lãnh đạo MHT cũng cho biết MSR cũng đã cung cấp vật liệu cho các nhà sản xuất xe điện khác",positive,0
"Kịch bản thứ nhất, MSR đặt mục tiêu 16.500 tỷ đồng doanh thu tăng 6% so với cùng kỳ và bỏ ngỏ con số lợi nhuận",positive,0
"Kịch bản thứ hai, công ty lên kế hoạch 18.200 tỷ đồng doanh thu và lợi nhuận sau thuế 300 tỷ đồng; tăng lần lượt 17% và 186% so với năm ngoái",positive,0
"Masan High-Tech Materials dự kiến đạt doanh thu thuần từ 16.500-18.200 tỷ đồng, tăng 6-17% so cùng kỳ năm trước",positive,0
"Số tiền thu được từ đợt chào bán sẽ phục vụ cho các mục đích chung, nhu cầu hoạt động kinh doanh và bổ sung vốn lưu động của công ty",positive,0
"đầu tư góp vốn vào các công ty con; nâng cao năng lực tài chính, quy mô hoạt động và khả năng cạnh tranh của công ty; và/hoặc tối ưu hóa bảng cân đối kế toán của công ty",positive,0
"Về kế hoạch kinh doanh 2023, ngoài câu chuyện hợp tác Vinfast, MSR cũng được đánh giá có nhiều yếu tố thuận lợi để đạt mục tiêu theo một trong 2 kịch bản",positive,0
